objectid,行政區,地標類型,地標名稱,地址,電話,網址,twd97_x,twd97_y,更新日期
5,中和區,大專院校,私立華夏科技大學,新北市中和區華新里44鄰工專路111號,02-89415100,,301259.57,2763722.47,2024-12-26 09:28:17.233000
588,中和區,高中職,市立中和高中,新北市中和區嘉慶里14鄰連城路460號,02-22227146,,298286.77,2765196.08,2024-12-26 09:28:17.233000
867,中和區,國民中學,市立中和國中,新北市中和區忠孝里11鄰興南路二段3巷17號,02-29424074,,301339.05,2764341.98,2024-12-26 09:28:17.233000
869,中和區,國民中學,市立漳和國中,新北市中和區枋寮里19鄰廣福路39號,02-22488616,,301028.33,2766168.77,2024-12-26 09:28:17.233000
868,中和區,國民中學,市立自強國中,新北市中和區明穗里24鄰莒光路191號,02-22259466,,297712.66,2765720.95,2024-12-26 09:28:17.233000
870,中和區,國民中學,市立積穗國中,新北市中和區嘉新里11鄰民安街66號,02-22250233,,298342.99,2765876.56,2024-12-26 09:28:17.233000
670,中和區,國民小學,市立中和國小,新北市中和區漳和里3鄰中和路100號,02-22492550,,300633.79,2765855.83,2024-12-26 09:28:17.233000
671,中和區,國民小學,市立光復國小,新北市中和區中原里7鄰光環路二段1號,02-32348645,,298705.78,2767491.83,2024-12-26 09:28:17.233000
672,中和區,國民小學,市立自強國小,新北市中和區自強里3鄰莒光路200號,02-29557936,,297632.98,2765687.78,2024-12-26 09:28:17.233000
673,中和區,國民小學,市立秀山國小,新北市中和區秀山里1鄰立人街2號,02-29434353,,302608.81,2765238.54,2024-12-26 09:28:17.233000
674,中和區,國民小學,市立復興國小,新北市中和區中興里30鄰復興路301巷6號,02-22472993,,300670.2,2764723.88,2024-12-26 09:28:17.233000
678,中和區,國民小學,市立錦和國小,新北市中和區錦中里16鄰圓通路292號,02-22479495,,299421.26,2764700.43,2024-12-26 09:28:17.233000
675,中和區,國民小學,市立景新國小,新北市中和區景南里31鄰景新街467巷37號,02-29448021,,301988.99,2764691.13,2024-12-26 09:28:17.233000
676,中和區,國民小學,市立積穗國小,新北市中和區文元里1鄰員山路154號,02-22225533,,298592.74,2765758.76,2024-12-26 09:28:17.233000
677,中和區,國民小學,市立興南國小,新北市中和區忠孝里27鄰興南路一段135巷24號,02-29422349,,301397.39,2764404.27,2024-12-26 09:28:17.233000
