,no,name,area,address,management,localcall service,areacode,Lat,Lng,geometry
0,157,清穗公園(公廿九),中和區,新北市中和區華順街二巷內民德停車場後方及民德路、華順街口,中和區公所,(02)22482688,65000030,24.9988727, 121.4682847,"'lat': 24.9988727, 'lng': 121.4682847"
1,158,華福公園(公廿一),中和區,新北市中和區華福街、和平街口,中和區公所,(02)22482688,65000030,24.9966339, 121.4664546,"'lat': 24.9966339, 'lng': 121.4664546"
2,159,明德公園(公七),中和區,新北市中和區民德路208號及274號對面,中和區公所,(02)22482688,65000030,24.9983155, 121.4680196,"'lat': 24.9983155, 'lng': 121.4680196"
3,160,安邦公園,中和區,新北市中和區連勝街、安邦街口,中和區公所,(02)22482688,65000030,24.995096, 121.497428,"'lat': 24.995096, 'lng': 121.497428"
4,161,自強公園(公廿),中和區,新北市中和區莒光路、國光街口,中和區公所,(02)22482688,65000030,25.0003025, 121.4727178,"'lat': 25.0003025, 'lng': 121.4727178"
5,162,員山公園(公八),中和區,新北市中和區員山路455巷內,中和區公所,(02)22482688,65000030,25.0043154, 121.4804504,"'lat': 25.0043154, 'lng': 121.4804504"
6,163,嘉穗公園(公十一),中和區,新北市中和區民利街9巷內,中和區公所,(02)22482688,65000030,24.9990328, 121.4807262,"'lat': 24.9990328, 'lng': 121.4807262"
7,164,景新公園(公六),中和區,新北市中和區景新街467巷50弄三介廟旁,中和區公所,(02)22482688,65000030,24.9887075, 121.5146016,"'lat': 24.9887075, 'lng': 121.5146016"
8,165,中興公園(公十二),中和區,新北市中和區中興街263巷74號對面,中和區公所,(02)22482688,65000030,24.9882033, 121.5005737,"'lat': 24.9882033, 'lng': 121.5005737"
9,166,復興公園(公四),中和區,新北市中和區復興路280巷內,中和區公所,(02)22482688,65000030,24.9913029, 121.5021833,"'lat': 24.9913029, 'lng': 121.5021833"
10,167,秀山公園(公七),中和區,新北市中和區自立路15巷內,中和區公所,(02)22482688,65000030,24.9960325, 121.5227552,"'lat': 24.9960325, 'lng': 121.5227552"
11,168,中和公園(公四),中和區,新北市中和區中安街、永貞路、安樂路及安平路間,中和區公所,(02)22482688,65000030,24.997724, 121.511772,"'lat': 24.997724, 'lng': 121.511772"
12,169,廟美綠林小徑,中和區,新北市中和區中山路2段181巷旁,中和區公所,(02)22482688,65000030,25.0021718, 121.5009606,"'lat': 25.0021718, 'lng': 121.5009606"
13,170,金山板南公園,中和區,新北市中和區板南路(南山路及中興街間),中和區公所,(02)22482688,65000030,24.9887416, 121.4985099,"'lat': 24.9887416, 'lng': 121.4985099"
14,171,泰隆公園,中和區,新北市中和區橋和路、福祥路口,中和區公所,(02)22482688,65000030,25.0061561, 121.4932993,"'lat': 25.0061561, 'lng': 121.4932993"
15,172,民樂人行廣場,中和區,新北市中和區民樂路17號中和郵局後方,中和區公所,(02)22482688,65000030,25.0013203, 121.4823833,"'lat': 25.0013203, 'lng': 121.4823833"
16,173,華新人行廣場,中和區,新北市中和區興南路2段79巷內,中和區公所,(02)22482688,65000030,24.9845346, 121.5067874,"'lat': 24.9845346, 'lng': 121.5067874"
17,174,民享藝文特區(公一),中和區,新北市中和區民享街、民治街間,中和區公所,(02)22482688,65000030,25.0015376, 121.4743118,"'lat': 25.0015376, 'lng': 121.4743118"
18,175,元隆公園,中和區,新北市中和區立言街與板南路口附近,中和區公所,(02)22482688,65000030,25.0065096, 121.4879701,"'lat': 25.0065096, 'lng': 121.4879701"
19,176,壽德公園,中和區,新北市中和區民德路與壽德街,中和區公所,(02)22482688,65000030,24.9943021, 121.4667092,"'lat': 24.9943021, 'lng': 121.4667092"
20,177,福美公園,中和區,新北市中和區莊敬街49巷,中和區公所,(02)22482688,65000030,24.9962178, 121.4853103,"'lat': 24.9962178, 'lng': 121.4853103"
21,178,瓦窯溝沿線綠帶,中和區,新北市中和區勝利路至水源路127巷間水利地,中和區公所,(02)22482688,65000030,25.0037015, 121.5087308,"'lat': 25.0037015, 'lng': 121.5087308"
22,179,廟仔尾溝加蓋綠帶,中和區,新北市中和區中山路二段174巷至莊敬橋間綠帶,中和區公所,(02)22482688,65000030,25.0029681, 121.501011,"'lat': 25.0029681, 'lng': 121.501011"
23,180,南山溝加蓋綠帶,中和區,新北市中和區南山路到興南路二段74巷間綠帶,中和區公所,(02)22482688,65000030,24.9924219, 121.5040127,"'lat': 24.9924219, 'lng': 121.5040127"
24,181,圓通綠廊,中和區,新北市中和區連勝街至中正路間綠帶 ,中和區公所,(02)22482688,65000030,24.9967877, 121.4967663,"'lat': 24.9967877, 'lng': 121.4967663"
25,182,中和大排旁簡易公園,中和區,新北市中和區中山路二段322巷內簡易公園,中和區公所,(02)22482688,65000030,25.002283, 121.4955644,"'lat': 25.002283, 'lng': 121.4955644"
26,183,中坑公園,中和區,新北市中和區員山路及圓通路交接路口,中和區公所,(02)22482688,65000030,24.9950542, 121.4809994,"'lat': 24.9950542, 'lng': 121.4809994"
27,184,興南路二段261巷口綠帶,中和區,新北市中和區興南路二段261巷口,中和區公所,(02)22482688,65000030,24.9802032, 121.5029963,"'lat': 24.9802032, 'lng': 121.5029963"
28,185,華中橋四面邊坡綠帶,中和區,新北市中和區華中橋下,中和區公所,(02)22482688,65000030,25.0118283, 121.4955002,"'lat': 25.0118283, 'lng': 121.4955002"
29,186,板南抽水站旁綠帶,中和區,新北市中和區板南路中正路口,中和區公所,(02)22482688,65000030,24.993945, 121.4970771,"'lat': 24.993945, 'lng': 121.4970771"
30,187,花曆公園(公一),中和區,新北市中和區中原街旁 ,中和區公所,(02)22482688,65000030,25.0098417, 121.4874492,"'lat': 25.0098417, 'lng': 121.4874492"
31,188,樟樹公園(公二),中和區,新北市中和區環河西路三段近永福宮 ,中和區公所,(02)22482688,65000030,25.0069084, 121.4949323,"'lat': 25.0069084, 'lng': 121.4949323"
32,189,光之公園(公兒一),中和區,新北市中和區中原東街與中原五街之間 ,中和區公所,(02)22482688,65000030,25.0119188, 121.4874628,"'lat': 25.0119188, 'lng': 121.4874628"
33,190,風之公園(公兒二),中和區,新北市中和區中原街與中原五街之間 ,中和區公所,(02)22482688,65000030,25.0107707, 121.4859369,"'lat': 25.0107707, 'lng': 121.4859369"
34,191,綠之公園(公六),中和區,新北市中和區中原東街與中原六街之間 ,中和區公所,(02)22482688,65000030,25.0131219, 121.4863744,"'lat': 25.0131219, 'lng': 121.4863744"
35,192,水之公園(公七),中和區,新北市中和區三段中原街與中原二街之間 ,中和區公所,(02)22482688,65000030,25.0112485, 121.487163,"'lat': 25.0112485, 'lng': 121.487163"
36,193,員勝公園,中和區,新北市中和區中正路二段與員山路交叉口,中和區公所,(02)22482688,65000030,24.999326, 121.488305,"'lat': 24.999326, 'lng': 121.488305"
37,194,錦和運動公園,中和區,新北市中和區新北市中和區錦和路350號,中和區公所,(02)22482688,65000030,24.9926349, 121.490381,"'lat': 24.9926349, 'lng': 121.490381"
