公園名,平均房價,房屋數量
清穗公園(公廿九),134794.06666666668,135
華福公園(公廿一),134397.88461538462,78
明德公園(公七),133210.031496063,127
安邦公園,149775.64028776978,278
自強公園(公廿),129557.55371900827,121
員山公園(公八),137814.16463414635,164
嘉穗公園(公十一),131427.83233532935,167
景新公園(公六),170732.25290697673,344
中興公園(公十二),145047.9176470588,85
復興公園(公四),157256.76328502415,207
秀山公園(公七),151448.15606936417,173
中和公園(公四),166874.06586826348,167
廟美綠林小徑,151420.54397394136,307
金山板南公園,141938.56818181818,88
泰隆公園,143669.11445783134,166
民樂人行廣場,136159.10784313726,204
華新人行廣場,128978.39090909091,220
民享藝文特區(公一),128646.11570247934,121
元隆公園,155907.83333333334,96
壽德公園,129865.59574468085,47
福美公園,130184.65271966528,239
瓦窯溝沿線綠帶,179545.57943925232,107
廟仔尾溝加蓋綠帶,150681.7972972973,296
南山溝加蓋綠帶,155813.84439359268,437
圓通綠廊,150567.9968253968,315
中和大排旁簡易公園,147405.79041916167,334
中坑公園,129728.01818181819,165
興南路二段261巷口綠帶,119431.98461538462,65
華中橋四面邊坡綠帶,205726.5,2
板南抽水站旁綠帶,147216.80816326532,245
花曆公園(公一),166810.24761904762,105
樟樹公園(公二),145234.3267973856,153
光之公園(公兒一),170050.32,100
風之公園(公兒二),165768.74509803922,102
綠之公園(公六),171018.34939759035,83
水之公園(公七),168248.05825242717,103
員勝公園,131362.27450980392,255
錦和運動公園,143803.02845528454,246
